Entity,Code,Year,Geo Biomass Other - TWh,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh
Algeria,DZA,2005,0,0,0,5553
Algeria,DZA,2006,0,0,0,2176
Algeria,DZA,2007,0,0,0,226
Algeria,DZA,2008,0,0,0,283
Algeria,DZA,2009,0,0,0,342
Algeria,DZA,2010,0,91,0,173
Algeria,DZA,2011,0,1811875,0,378
Algeria,DZA,2012,0,26723014,0,389
Algeria,DZA,2013,0,286,0,99
Algeria,DZA,2014,0,0.06,1,193
Algeria,DZA,2015,0,58,19,145
Algeria,DZA,2016,0,245,19052055,72
Algeria,DZA,2017,0,504,19,56
Algeria,DZA,2018,0,603,0.01,117
Algeria,DZA,2019,0,615,0.01,152
Algeria,DZA,2020,0,685,77,496
Algeria,DZA,2021,0,664,105,93
Argentina,ARG,1965,0,0,0,12251163
Argentina,ARG,1966,0,0,0,12409302
Argentina,ARG,1967,0,0,0,12706977
Argentina,ARG,1968,0,0,0,14976745
Argentina,ARG,1969,0,0,0,13432558
Argentina,ARG,1970,5624185,0,0,15571272
Argentina,ARG,1971,5899074,0,0,15461483
Argentina,ARG,1972,7602739,0,0,15026463
Argentina,ARG,1973,5997025,0,0,29974296
Argentina,ARG,1974,6100323,0,0,4994663
Argentina,ARG,1975,63990325,0,0,51947746
Argentina,ARG,1976,60962547,0,0,5014902
Argentina,ARG,1977,64003065,0,0,57667804
Argentina,ARG,1978,6397281,0,0,77466183
Argentina,ARG,1979,9498376,0,0,10656913
Argentina,ARG,1980,9901763,0,0,15140881
Argentina,ARG,1981,8701801,0,0,14684794
Argentina,ARG,1982,1149734,0,0,17592196
Argentina,ARG,1983,15497561,0,0,1841851
Argentina,ARG,1984,11498845,0,0,19877867
Argentina,ARG,1985,12000641,0,0,20653124
Argentina,ARG,1986,123990245,0,0,21030247
Argentina,ARG,1987,10598629,0,0,21912518
Argentina,ARG,1988,12296129,0,0,15259144
Argentina,ARG,1989,10600155,0,0,13187393
Argentina,ARG,1990,13302182,0,0,17713175
Argentina,ARG,1991,1310081,0,0,15869253
Argentina,ARG,1992,12998593,0,0,1916509
Argentina,ARG,1993,9599508,0,0,23768307
Argentina,ARG,1994,99004395,0,0,27286676
Argentina,ARG,1995,119016126,0,0,26503681
Argentina,ARG,1996,22302064,0,9618,22471685
Argentina,ARG,1997,17875852,0,14592,27924665
Argentina,ARG,1998,20689325,17,32541,26475504
Argentina,ARG,1999,26199996,26,34781,21396791
Argentina,ARG,2000,3860283,36,34758,28575241
Argentina,ARG,2001,36299825,43,49361,36580173
Argentina,ARG,2002,5299802,47,73405,35778835
Argentina,ARG,2003,88059855,65,77954,33800575
Argentina,ARG,2004,86751235,7,72446,30462402
Argentina,ARG,2005,9164998,81,7171966,34216137
Argentina,ARG,2006,1046309,9,6964,38015213
Argentina,ARG,2007,10708514,1089,61593,3122015
Argentina,ARG,2008,12059801,1437,4195108,31199696
Argentina,ARG,2009,11889358,76084,36831528,34618187
Argentina,ARG,2010,14423598,8589,25351606,3335991
Argentina,ARG,2011,14191314,1614,2659055,3118693
Argentina,ARG,2012,1484553,8172967,369862,291644
Argentina,ARG,2013,16066635,15074079,45335487,32771378
Argentina,ARG,2014,1482859,15944,619491,32416695
Argentina,ARG,2015,1517351,14683,593335,3233747
Argentina,ARG,2016,11388094,14273,547359,29752789
Argentina,ARG,2017,13890371,16417,611567,31594284
Argentina,ARG,2018,15898329,10813,1412743,32278667
Argentina,ARG,2019,16499021,79969794,49959664,27504503
Argentina,ARG,2020,2264699,1344358,9410639,23669312
Argentina,ARG,2021,21038966,21955633,12937551,19597536
Asia,,1965,0.1,0,0,14290587
Asia,,1966,122,0,0,14904556
Asia,,1967,173,0,0,1392507
Asia,,1968,179,0,0,15478128
Asia,,1969,178,0,0,16068423
Asia,,1970,40870398,0,0,16448134
Asia,,1971,39761102,0,0,17992075
Asia,,1972,42359102,0,0,18607146
Asia,,1973,450998,0,0,17298293
Asia,,1974,514547,0,0,19701353
Asia,,1975,598507,0,0,21223686
Asia,,1976,528553,0,0,21830035
Asia,,1977,752774,0,0,21444467
Asia,,1978,967644,0,0,22585852
Asia,,1979,1881672,0,0,24419711
Asia,,1980,327229,0,0,26164688
Asia,,1981,5158717,0,0,279014
Asia,,1982,13786909,0,0,2763654
Asia,,1983,15969758,0,0,2890298
Asia,,1984,17504143,0,0,28970355
Asia,,1985,18650616,0,0,3432253
Asia,,1986,1950979,0,0,34583762
Asia,,1987,19839085,0,0,35831186
Asia,,1988,21396158,0,0,4117138
Asia,,1989,23113253,0,0,42120538
Asia,,1990,18881407,4,33323232,4441206
Asia,,1991,19272646,4,12300091,44901508
Asia,,1992,19529099,15500001,22078313,45227505
Asia,,1993,19343426,28500002,3098508,50267566
Asia,,1994,2293912,36,578078,4988318
Asia,,1995,27571014,49510103,11145912,53850226
Asia,,1996,28013805,725606,9768788,5349226
Asia,,1997,31614063,116365455,11958565,5328262
Asia,,1998,33696926,16731885,14579804,5648095
Asia,,1999,3697982,24566661,2029756,55017346
Asia,,2000,40588943,38173443,2382639,5666794
Asia,,2001,41515842,5543564,32005217,61166364
Asia,,2002,42871227,77081144,34702802,6335691
Asia,,2003,44736835,10533706,4594285,65835077
Asia,,2004,47316742,1390835,8149257,7754693
Asia,,2005,52971306,17684904,10250758,8035207
Asia,,2006,56996235,21937077,16057991,8843695
Asia,,2007,6323911,2631334,21330153,92837085
Asia,,2008,7115207,31911235,32621487,10534241
Asia,,2009,800869,41230693,50676037,10233779
Asia,,2010,9183977,5857667,7796537,11786938
Asia,,2011,10099215,10344753,11011321,11933677
Asia,,2012,10971559,15574323,14408229,13507999
Asia,,2013,12181989,292343,18499315,14588453
Asia,,2014,14066154,59336422,21104466,15928458
Asia,,2015,16337277,91492004,24093576,16594976
Asia,,2016,16646243,13828072,3121903,17236475
Asia,,2017,1947894,21776898,39091745,17687732
Asia,,2018,23283195,31058658,4656706,18097231
Asia,,2019,2606604,39175977,51410986,19345533
Asia,,2020,28571262,4676714,5788373,19807616
Asia,,2021,33635724,57965894,78560724,19380249
Asia Pacific (BP),,1965,1644,0,0,15608955
Asia Pacific (BP),,1966,1643,0,0,16231183
Asia Pacific (BP),,1967,1424,0,0,15286674
Asia Pacific (BP),,1968,1577,0,0,16824911
Asia Pacific (BP),,1969,1608,0,0,1741638
Asia Pacific (BP),,1970,1776704,0,0,180.71
Asia Pacific (BP),,1971,1754611,0,0,19945708
Asia Pacific (BP),,1972,1785591,0,0,20511601
Asia Pacific (BP),,1973,1834998,0,0,19401163
Asia Pacific (BP),,1974,28156047,0,0,2179046
Asia Pacific (BP),,1975,29736698,0,0,23244424
Asia Pacific (BP),,1976,9064-02-01 00:00:00,0,0,23325337
Asia Pacific (BP),,1977,2941779,0,0,22703831
Asia Pacific (BP),,1978,32368069,0,0,2370464
Asia Pacific (BP),,1979,4032256,0,0,25698187
Asia Pacific (BP),,1980,5492769,0,0,2734472
Asia Pacific (BP),,1981,73913007,0,0,28972968
Asia Pacific (BP),,1982,1627123,0,0,28266718
Asia Pacific (BP),,1983,18387142,0,0,29934137
Asia Pacific (BP),,1984,20061474,0,0,2994067
Asia Pacific (BP),,1985,21110823,0,0,32004462
Asia Pacific (BP),,1986,22009226,0,0,3281591
Asia Pacific (BP),,1987,22329086,0,0,3268913
Asia Pacific (BP),,1988,2414604,0,0,36178625
Asia Pacific (BP),,1989,26438787,0,0,38804352
Asia Pacific (BP),,1990,2251375,4,32323234,39927155
Asia Pacific (BP),,1991,22994274,945,12200091,41052426
Asia Pacific (BP),,1992,2315172,276,22047403,40152466
Asia Pacific (BP),,1993,23097511,431,31183666,44028693
Asia Pacific (BP),,1994,26580261,534,58358806,4432982
Asia Pacific (BP),,1995,31112776,706601,11216013,48343442
Asia Pacific (BP),,1996,31652657,9816061,99120504,47340945
Asia Pacific (BP),,1997,35280697,14701545,121395,47589465
Asia Pacific (BP),,1998,37759834,20291886,14895501,5066743
Asia Pacific (BP),,1999,41455635,2862666,20532491,50024295
Asia Pacific (BP),,2000,44974827,42848444,2563947,52165295
Asia Pacific (BP),,2001,455645,60850644,35174093,5704633
Asia Pacific (BP),,2002,47265427,8291114,40670133,57890875
Asia Pacific (BP),,2003,4953167,11165706,53408756,5943545
Asia Pacific (BP),,2004,53351498,1463785,9186693,69915247
Asia Pacific (BP),,2005,6051645,18525405,12019194,7279608
Asia Pacific (BP),,2006,6484644,2291108,18569807,8016983
Asia Pacific (BP),,2007,7150754,274839,24603132,85217444
Asia Pacific (BP),,2008,7942048,333027,36079895,9977784
Asia Pacific (BP),,2009,8771818,4382631,54847977,9680881
Asia Pacific (BP),,2010,99808716,6738752,81484215,10976714
Asia Pacific (BP),,2011,1092485,12163278,11355109,11178053
Asia Pacific (BP),,2012,118289406,17553854,14772359,12619498
Asia Pacific (BP),,2013,13023392,32382584,18847214,1369885
Asia Pacific (BP),,2014,14875612,62967415,21427269,15234308
Asia Pacific (BP),,2015,17102686,95624725,24305782,15668795
Asia Pacific (BP),,2016,17141855,1418077,3111879,16287206
Asia Pacific (BP),,2017,197789,22017581,38715164,16738356
Asia Pacific (BP),,2018,23380719,30959854,46209122,17272189
Asia Pacific (BP),,2019,2590397,39025864,51161475,17910603
Asia Pacific (BP),,2020,28186713,4666904,57512225,18628567
Asia Pacific (BP),,2021,32944208,581505,779175,18516252
Australia,AUS,1965,296,0,0,7689756
Australia,AUS,1966,284,0,0,73450427
Australia,AUS,1967,0.29,0,0,76057873
Australia,AUS,1968,282,0,0,79505005
Australia,AUS,1969,281,0,0,8684121
Australia,AUS,1970,261,0,0,10170687
Australia,AUS,1971,263,0,0,11507442
Australia,AUS,1972,0.28,0,0,11553314
Australia,AUS,1973,338,0,0,12285839
Australia,AUS,1974,429,0,0,1387392
Australia,AUS,1975,489,0,0,14887801
Australia,AUS,1976,484,0,0,14153859
Australia,AUS,1977,429,0,0,1354395
Australia,AUS,1978,405,0,0,14675349
Australia,AUS,1979,418,0,0,14246056
Australia,AUS,1980,385,0,0,13466598
Australia,AUS,1981,404,0,0,138663435
Australia,AUS,1982,516,0,0,12770334
Australia,AUS,1983,431,0,0,12123648
Australia,AUS,1984,441,0,0,13125949
Australia,AUS,1985,456,0,0,13940511
Australia,AUS,1986,0.46,0,0,14025799
Australia,AUS,1987,0.47,0,0,13613796
Australia,AUS,1988,731,0,0,14334444
Australia,AUS,1989,0.81,0,0,14253669
Australia,AUS,1990,7595,0,0,147595
Australia,AUS,1991,7195,545,0,156535
Australia,AUS,1992,0.67,121,0,159415
Australia,AUS,1993,0.67,146,2,16387
Australia,AUS,1994,6965,174,55,16.15
Australia,AUS,1995,8255,2115,7,15631
Australia,AUS,1996,9465,256,7,159685
Australia,AUS,1997,997,3065,75,159525
Australia,AUS,1998,1081,356,18,15798
Australia,AUS,1999,1.1335,406,43,162815
Australia,AUS,2000,8895,4675,134,164665
Australia,AUS,2001,7975,5415,287,161235
Australia,AUS,2002,2668-01-01 00:00:00,583,53355,16095
Australia,AUS,2003,6918-01-01 00:00:00,632,70405,1621055
Australia,AUS,2004,281525,7295,795,1568665
Australia,AUS,2005,3871,8405,129905,154657
Australia,AUS,2006,9325-03-01 00:00:00,975,2.1621,149451
Australia,AUS,2007,4275,11375,8521-02-01 00:00:00,1304895
Australia,AUS,2008,6961-03-01 00:00:00,1392,345845,1181515
Australia,AUS,2009,7868-02-01 00:00:00,29024202,443775,1264205
Australia,AUS,2010,244155,97764826,4985,13746
Australia,AUS,2011,257395,20445466,6432,19572
Australia,AUS,2012,309785,2412,7725,17036
Australia,AUS,2013,333165,8474-03-01 00:00:00,9259,19089
Australia,AUS,2014,3546362,4952,9777,14484
Australia,AUS,2015,3678062,6195524,11833002,14086569
Australia,AUS,2016,3627513,74397755,13039705,17629421
Australia,AUS,2017,3561684,8917557,13210791,13499718
Australia,AUS,2018,3588149,12332544,16261955,1731133
Australia,AUS,2019,34677262,18296988,19471687,14020776
Australia,AUS,2020,34104242,2384266,22606892,14420926
Australia,AUS,2021,3344045,31193806,26795876,15996179
Austria,AUT,1965,0,0,0,16083
Austria,AUT,1966,0,0,0,17331
Austria,AUT,1967,0,0,0,17698
Austria,AUT,1968,0,0,0,18185
Austria,AUT,1969,0,0,0,16718
Austria,AUT,1970,0,0,0,212897
Austria,AUT,1971,0,0,0,168201
Austria,AUT,1972,0,0,0,172876
Austria,AUT,1973,0,0,0,192092
Austria,AUT,1974,0,0,0,227122
Austria,AUT,1975,0,0,0,237952
Austria,AUT,1976,0,0,0,205656
Austria,AUT,1977,0,0,0,249208
Austria,AUT,1978,0,0,0,249408
Austria,AUT,1979,0,0,0,280968
Austria,AUT,1980,0,0,0,291099
Austria,AUT,1981,0,0,0,308473
Austria,AUT,1982,0,0,0,308963
Austria,AUT,1983,0,0,0,306063
Austria,AUT,1984,0,0,0,26849564
Austria,AUT,1985,943327,0,0,30775146
Austria,AUT,1986,1287501,0,0,30903927
Austria,AUT,1987,905816,0,0,35387993
Austria,AUT,1988,104696,0,0,3530409
Austria,AUT,1989,110445,0,0,3508243
Austria,AUT,1990,1142485,0,0,31509
Austria,AUT,1991,1225832,0,0,314434
Austria,AUT,1992,1329164,0,0,348484
Austria,AUT,1993,1361111,1,0,36705555
Austria,AUT,1994,1210555,1,0,357075
Austria,AUT,1995,1857221,1,1,37067223
Austria,AUT,1996,1589444,1,5,3421611
Austria,AUT,1997,1711389,2,0.02,36105278
Austria,AUT,1998,1842777,2,45,37163334
Austria,AUT,1999,15969118,2,51,4069912
Austria,AUT,2000,15282793,3,67,4183565
Austria,AUT,2001,1667812,5,172,40455482
Austria,AUT,2002,1520444,9,203,40227
Austria,AUT,2003,1711921,15,366,33214993
Austria,AUT,2004,205973,18,924,36762283
Austria,AUT,2005,24401429,21018375,13312768,3709514
Austria,AUT,2006,32547655,22386875,1752793,35656086
Austria,AUT,2007,40791254,24238374,2037185,3705445
Austria,AUT,2008,4177986,3011991,20112574,3832949
Austria,AUT,2009,42947526,4891428,19540402,40896305
Austria,AUT,2010,4500126,8881314,20639138,3836342
Austria,AUT,2011,4572212,17406996,19362364,3423717
Austria,AUT,2012,4691266,33748305,2462029,438477
Austria,AUT,2013,47102733,625974,31532316,4201672
Austria,AUT,2014,45615125,785246,3845768,41007236
Austria,AUT,2015,466263,937098,4840343,37156864
Austria,AUT,2016,47955213,1096016,52348385,39971336
Austria,AUT,2017,4933439,1268971,65715113,3829375
Austria,AUT,2018,49433427,1455132,60304294,3763791
Austria,AUT,2019,46682663,1702093,74500766,4082597
Austria,AUT,2020,46011376,2042934,67915306,4199803
Austria,AUT,2021,43925185,21249056,6751889,42851505
Azerbaijan,AZE,1990,0,0,0,1658
Azerbaijan,AZE,1991,0,0,0,7593-01-01 00:00:00
Azerbaijan,AZE,1992,0,0,0,7473-01-01 00:00:00
Azerbaijan,AZE,1993,0,0,0,2426
Azerbaijan,AZE,1994,0,0,0,1.83
Azerbaijan,AZE,1995,0,0,0,1556
Azerbaijan,AZE,1996,0,0,0,1537
Azerbaijan,AZE,1997,0,0,0,1712
Azerbaijan,AZE,1998,0,0,0,1951
Azerbaijan,AZE,1999,0,0,0,1506
Azerbaijan,AZE,2000,0,0,0,1534
Azerbaijan,AZE,2001,0,0,0,1301
Azerbaijan,AZE,2002,0,0,0,2025-02-02 00:00:00
Azerbaijan,AZE,2003,0,0,0,2.47
Azerbaijan,AZE,2004,0,0,0,2755
Azerbaijan,AZE,2005,0,0,0,1994-03-01 00:00:00
Azerbaijan,AZE,2006,0,0,0,2518
Azerbaijan,AZE,2007,0,0,0,2364
Azerbaijan,AZE,2008,0,0,0,2232
Azerbaijan,AZE,2009,0,0,21,3084-02-01 00:00:00
Azerbaijan,AZE,2010,0,0,5,4463-03-01 00:00:00
Azerbaijan,AZE,2011,0,0,0,6758-02-01 00:00:00
Azerbaijan,AZE,2012,0,0,0,1821
Azerbaijan,AZE,2013,67,8,8,4891-01-01 00:00:00
Azerbaijan,AZE,2014,87,29,23,2997-01-01 00:00:00
Azerbaijan,AZE,2015,909,46,46,6375-01-01 00:00:00
Azerbaijan,AZE,2016,8725,353,228,9593-01-01 00:00:00
Azerbaijan,AZE,2017,8515,372,221,7464-01-01 00:00:00
Azerbaijan,AZE,2018,811,3926,827,1768
Azerbaijan,AZE,2019,9795,442,1054,5648-01-01 00:00:00
Azerbaijan,AZE,2020,1003,47,961,1.0695
Azerbaijan,AZE,2021,966,552,914,2773-01-01 00:00:00
Azerbaijan,AZE,1985,,,,13125618
Azerbaijan,AZE,1986,,,,8043308
Azerbaijan,AZE,1987,,,,8043308
Azerbaijan,AZE,1988,,,,6982652
Azerbaijan,AZE,1989,,,,6982652
Bangladesh,BGD,1971,0,0,0,175
Bangladesh,BGD,1972,0,0,0,175
Bangladesh,BGD,1973,0,0,0,331
Bangladesh,BGD,1974,0,0,0,243
Bangladesh,BGD,1975,0,0,0,436
Bangladesh,BGD,1976,0,0,0,494
Bangladesh,BGD,1977,0,0,0,437
Bangladesh,BGD,1978,0,0,0,506
Bangladesh,BGD,1979,0,0,0,587
Bangladesh,BGD,1980,0,0,0,583
Bangladesh,BGD,1981,0,0,0,625
Bangladesh,BGD,1982,0,0,0,523
Bangladesh,BGD,1983,0,0,0,662
Bangladesh,BGD,1984,0,0,0,897
Bangladesh,BGD,1985,0,0,0,739
Bangladesh,BGD,1986,0,0,0,0.45
Bangladesh,BGD,1987,0,0,0,517
Bangladesh,BGD,1988,0,0,0,675
Bangladesh,BGD,1989,0,0,0,0.92
Bangladesh,BGD,1990,0,0,0,884
Bangladesh,BGD,1991,0,0,0,838
Bangladesh,BGD,1992,0,0,0,796
Bangladesh,BGD,1993,0,0,0,608
Bangladesh,BGD,1994,0,0,0,847
Bangladesh,BGD,1995,0,0,0,372
Bangladesh,BGD,1996,0,0,0,739
Bangladesh,BGD,1997,0,0,0,719
Bangladesh,BGD,1998,0,0,0,865
Bangladesh,BGD,1999,0,0,0,833
Bangladesh,BGD,2000,0,0,0,749
Bangladesh,BGD,2001,0,0,0,993
Bangladesh,BGD,2002,0,1,0,749
Bangladesh,BGD,2003,0,9,0,749
Bangladesh,BGD,2004,0,19,0,749
Bangladesh,BGD,2005,0,34,0,749
Bangladesh,BGD,2006,0,54,16,749
Bangladesh,BGD,2007,0,9,16,749
Bangladesh,BGD,2008,0,152,29,0.95
Bangladesh,BGD,2009,1,251,51,417
Bangladesh,BGD,2010,2,443,51,729
Bangladesh,BGD,2011,3,584,51,872
Bangladesh,BGD,2012,4,909,51,777
Bangladesh,BGD,2013,4993,129563,5081,7283787
Bangladesh,BGD,2014,6015,166947,5081,56645346
Bangladesh,BGD,2015,2682,198389,5081,89814645
Bangladesh,BGD,2016,2852,219999,5081,8846326
Bangladesh,BGD,2017,2852,253361,5081,10295281
Bangladesh,BGD,2018,2852,275068,5081,8654111
Bangladesh,BGD,2019,2852,327543,5081,8230912
Bangladesh,BGD,2020,3029704,39008853,5094921,7006707
Bangladesh,BGD,2021,3021426,4506887,5081,6818673
Belarus,BLR,1990,0,0,0,0.02
Belarus,BLR,1991,0,0,0,18
Belarus,BLR,1992,0,0,0,17
Belarus,BLR,1993,0,0,0,19
Belarus,BLR,1994,0,0,0,19
Belarus,BLR,1995,0,0,0,0.02
Belarus,BLR,1996,0,0,0,16
Belarus,BLR,1997,0,0,0,21
Belarus,BLR,1998,0,0,0,28
Belarus,BLR,1999,0,0,0,19
Belarus,BLR,2000,0,0,0,27
Belarus,BLR,2001,0,0,0,0.03
Belarus,BLR,2002,0,0,0,29
Belarus,BLR,2003,0,0,0,28
Belarus,BLR,2004,0,0,1010101,33
Belarus,BLR,2005,0,0,1,36
Belarus,BLR,2006,2,0,1,35
Belarus,BLR,2007,14,0,1,35
Belarus,BLR,2008,33,0,1,39
Belarus,BLR,2009,0.06,0,1,45
Belarus,BLR,2010,84,0,1,45
Belarus,BLR,2011,95,0,4,42
Belarus,BLR,2012,95,0,6,72
Belarus,BLR,2013,82,4,8,138
Belarus,BLR,2014,79,2,9,121
Belarus,BLR,2015,94,9,39,111
Belarus,BLR,2016,94,26,73,142
Belarus,BLR,2017,106,89,97,406
Belarus,BLR,2018,109,118,99,324
Belarus,BLR,2019,0.11,179,166,351
Belarus,BLR,2020,268,0.17,185,0.4
Belarus,BLR,2021,26726776,2850316,18449454,343
Belarus,BLR,1985,,,,0.02
Belarus,BLR,1986,,,,0.02
Belarus,BLR,1987,,,,0.02
Belarus,BLR,1988,,,,0.02
Belarus,BLR,1989,,,,0.02
Belgium,BEL,1965,0,0,0,272
Belgium,BEL,1966,0,0,0,299
Belgium,BEL,1967,0,0,0,238
Belgium,BEL,1968,0,0,0,244
Belgium,BEL,1969,0,0,0,0.23
Belgium,BEL,1970,0,0,0,246
Belgium,BEL,1971,0,0,0,134
Belgium,BEL,1972,0,0,0,0.18
Belgium,BEL,1973,116,0,0,171
Belgium,BEL,1974,108,0,0,0.24
Belgium,BEL,1975,83,0,0,183
Belgium,BEL,1976,57,0,0,109
